Athlete;100m;110m Hurdle;400m;1500m;Pole Vault;Long Jump;High Jump;Javelin;Shot Put;Discus
SEBRLE;11.04;14.69;49.81;291.7;5.02;7.58;2.07;63.19;14.83;43.75
CLAY;10.76;14.05;49.37;301.5;4.92;7.4;1.86;60.15;14.26;50.72
KARPOV;11.02;14.09;48.37;300.2;4.92;7.3;2.04;50.31;14.77;48.95
BERNARD;11.02;14.99;48.93;280.1;5.32;7.23;1.92;62.77;14.25;40.87
YURKOV;11.34;15.31;50.42;276.4;4.72;7.09;2.1;63.44;15.19;46.26
WARNERS;11.11;14.23;48.68;278.1;4.92;7.6;1.98;51.77;14.31;41.1
ZSIVOCZKY;11.13;14.17;48.62;268.0;4.42;7.3;2.01;55.37;13.48;45.67
McMULLEN;10.83;14.38;49.91;285.1;4.42;7.31;2.13;56.37;13.76;44.41
MARTINEAU;11.64;14.93;50.14;262.1;4.92;6.81;1.95;52.33;14.57;47.6
HERNU;11.37;15.06;51.1;285.1;4.82;7.56;1.86;57.19;14.41;44.99
BARRAS;11.33;14.48;49.48;282.0;4.72;6.97;1.95;55.4;14.09;42.1
NOOL;11.33;15.29;49.2;266.6;4.62;7.27;1.98;57.44;12.68;37.92
BOURGUIGNON;11.36;15.67;51.16;291.7;5.02;6.8;1.86;54.68;13.46;40.49
Sebrle;10.85;14.05;48.36;280.01;5.0;7.84;2.12;70.52;16.36;48.72
Clay;10.44;14.13;49.19;282.0;4.9;7.96;2.06;69.71;15.23;50.11
Karpov;10.5;13.97;46.81;278.11;4.6;7.81;2.09;55.54;15.93;51.65
Macey;10.89;14.56;48.97;265.42;4.4;7.47;2.15;58.46;15.73;48.34
Warners;10.62;14.01;47.97;278.05;4.9;7.74;1.97;55.39;14.48;43.73
Zsivoczky;10.91;14.95;49.4;269.54;4.7;7.14;2.12;63.45;15.31;45.62
Hernu;10.97;14.25;48.73;264.35;4.8;7.19;2.03;57.76;14.65;44.72
Nool;10.8;14.8;48.81;276.33;5.4;7.53;1.88;61.33;14.26;42.05
Bernard;10.69;14.17;49.13;276.31;4.4;7.48;2.12;55.27;14.8;44.75
Schwarzl;10.98;14.25;49.76;273.56;5.1;7.49;1.94;56.32;14.01;42.43
Pogorelov;10.95;14.21;50.79;287.63;5.0;7.31;2.06;53.45;15.1;44.6
Schoenbeck;10.9;14.34;50.3;278.82;5.0;7.3;1.88;60.89;14.77;44.41
Barras;11.14;14.37;49.41;267.09;4.6;6.99;1.94;64.55;14.91;44.83
Smith;10.85;14.01;49.27;272.74;4.2;6.81;1.91;61.52;15.24;49.02
Averyanov;10.55;14.39;49.72;271.02;4.8;7.34;1.94;54.51;14.44;39.88
Ojaniemi;10.68;15.01;49.12;275.71;4.6;7.5;1.94;59.26;14.97;40.35
Smirnov;10.89;14.77;49.11;263.31;4.7;7.07;1.94;60.88;13.88;42.47
Qi;11.06;14.78;49.65;272.63;4.5;7.34;1.97;60.79;13.55;45.13
Drews;10.87;14.01;48.51;274.21;5.0;7.38;1.88;51.53;13.07;40.11
Parkhomenko;11.14;14.88;51.04;277.94;4.8;6.61;2.03;65.82;15.69;41.9
Terek;10.92;15.12;49.56;290.36;5.3;6.94;1.94;50.62;15.15;45.62
Gomez;11.08;14.41;48.61;269.7;4.4;7.26;1.85;60.71;14.57;40.95
Turi;11.08;14.26;51.67;290.01;4.8;6.91;2.03;59.34;13.62;39.83
Lorenzo;11.1;15.38;49.34;263.08;4.5;7.03;1.85;58.36;13.22;40.22
Karlivans;11.33;14.98;50.54;278.67;4.5;7.26;1.97;52.92;13.3;43.34
Korkizoglou;10.86;14.96;51.16;317.0;4.7;7.07;1.94;53.05;14.81;46.07
Uldal;11.23;15.09;50.95;281.7;4.5;6.99;1.85;60.0;13.53;43.01
Casarsa;11.36;15.39;53.2;296.12;4.4;6.68;1.94;58.62;14.92;48.66